Order Date,Ship Date,Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Year,Month,Month_Name,Sales_log
2016-11-22,2016-11-26,Standard Class,Home Office,Fort Worth,Texas,76106.0,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2016,11,Nov,1.2652560327428346
2015-11-11,2015-11-18,Standard Class,Consumer,Madison,Wisconsin,53711.0,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,2015,11,Nov,6.502610119684893
2015-05-13,2015-05-15,Second Class,Consumer,West Jordan,Utah,84084.0,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2015,5,May,4.034240638152395
2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,94109.0,West,Office Supplies,Art,Newell 341,8.56,2015,8,Aug,2.25758772706331
2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,94109.0,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,2015,8,Aug,5.3682164939277035
2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,94109.0,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,2015,8,Aug,3.1663185741295248
2017-12-09,2017-12-13,Standard Class,Corporate,Fremont,Nebraska,68025.0,Central,Office Supplies,Art,Newell 318,19.46,2017,12,Dec,3.0184717605234805
2017-12-09,2017-12-13,Standard Class,Corporate,Fremont,Nebraska,68025.0,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,2017,12,Dec,4.116432158686106
2018-07-16,2018-07-18,Second Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2018,7,Jul,4.28181948425685
2016-09-25,2016-09-30,Standard Class,Consumer,Orem,Utah,84057.0,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,2016,9,Sep,6.952374853558705
2017-01-16,2017-01-20,Second Class,Consumer,Los Angeles,California,90049.0,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2017,1,Jan,2.537499099907171
2017-01-16,2017-01-20,Second Class,Consumer,Los Angeles,California,90049.0,West,Technology,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,2017,1,Jan,4.517103707119641
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,2016,9,Sep,8.034122154276439
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2016,9,Sep,2.3625506741614797
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,2016,9,Sep,4.829912458665998
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2016,9,Sep,1.4502076868635432
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,2016,9,Sep,4.4693962808107885
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,2016,9,Sep,2.061532121136268
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Art,Lumber Crayons,15.76,2016,9,Sep,2.818995095053937
2018-10-19,2018-10-23,Second Class,Home Office,Houston,Texas,77095.0,Central,Office Supplies,Paper,Easy-staple paper,29.472,2018,10,Oct,3.416808229176303
2017-12-08,2017-12-10,First Class,Corporate,Richardson,Texas,75080.0,Central,Technology,Phones,GE 30524EE4,1097.544,2017,12,Dec,7.001740945642436
2017-12-08,2017-12-10,First Class,Corporate,Richardson,Texas,75080.0,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,2017,12,Dec,5.257078618531439
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,77041.0,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,2016,12,Dec,4.739071510179493
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,77041.0,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,2016,12,Dec,6.279270111934266
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,77041.0,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,2016,12,Dec,5.361564429111865
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,77041.0,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,2016,12,Dec,5.919345365229957
2018-09-10,2018-09-15,Standard Class,Corporate,Naperville,Illinois,60540.0,Central,Technology,Phones,Panasonic Kx-TS550,147.168,2018,9,Sep,4.998346765120501
2017-07-17,2017-07-22,Standard Class,Corporate,Los Angeles,California,90049.0,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2017,7,Jul,4.36792771029438
2018-09-19,2018-09-23,Standard Class,Corporate,Melbourne,Florida,32935.0,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2018,9,Sep,4.570744358973074
2017-03-11,2017-03-13,First Class,Corporate,Eagan,Minnesota,55122.0,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2017,3,Mar,3.849721979230767
2017-03-11,2017-03-13,First Class,Corporate,Eagan,Minnesota,55122.0,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2017,3,Mar,2.9156062290747062
2015-10-20,2015-10-25,Second Class,Consumer,Westland,Michigan,48185.0,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,2015,10,Oct,5.361104354646802
2017-06-20,2017-06-25,Standard Class,Consumer,Dover,Delaware,19901.0,East,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,45.0,2017,6,Jun,3.828641396489095
2017-06-20,2017-06-25,Standard Class,Consumer,Dover,Delaware,19901.0,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2017,6,Jun,3.126760535960395
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,47150.0,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,2016,4,Apr,3.6691868207682004
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,47150.0,Central,Office Supplies,Labels,Avery 485,75.18,2016,4,Apr,4.333098961050458
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,47150.0,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2016,4,Apr,1.9685099809725544
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,47150.0,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,2016,4,Apr,4.5107496103686
2017-12-11,2017-12-17,Standard Class,Corporate,New York City,New York,10024.0,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,2017,12,Dec,2.7887081041196646
2017-12-11,2017-12-17,Standard Class,Corporate,New York City,New York,10024.0,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,2017,12,Dec,6.938235986235724
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,2017,6,Jun,5.345010094540019
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Paper,Xerox 232,32.4,2017,6,Jun,3.5085558999826545
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,12180.0,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,2017,6,Jun,5.769601425693419
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2017,6,Jun,2.7447035187502458
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,12180.0,East,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,30.0,2017,6,Jun,3.4339872044851463
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Binders,Plastic Binding Combs,48.48,2017,6,Jun,3.901568547524287
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,2017,6,Jun,0.9858167945227653
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,90004.0,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2016,11,Nov,2.7067159780890733
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,90004.0,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,2016,11,Nov,3.2892970091639273
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,90004.0,West,Office Supplies,Paper,Xerox 1943,146.73,2016,11,Nov,4.9953862833335165
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,90004.0,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,2016,11,Nov,4.391481793444637
2016-04-30,2016-05-05,Standard Class,Home Office,Chicago,Illinois,60610.0,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,2016,4,Apr,5.36651325386079
2015-12-05,2015-12-10,Standard Class,Corporate,Gilbert,Arizona,85234.0,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,2015,12,Dec,7.015733964240798
2015-12-05,2015-12-10,Standard Class,Corporate,Gilbert,Arizona,85234.0,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,2015,12,Dec,5.129709347881841
2017-06-04,2017-06-06,First Class,Consumer,Springfield,Virginia,22153.0,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2017,6,Jun,4.342245764662037
2017-09-18,2017-09-23,Standard Class,Consumer,New York City,New York,10009.0,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,2017,9,Sep,1.72561966672351
2018-09-14,2018-09-17,Second Class,Consumer,Jackson,Michigan,49201.0,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,2018,9,Sep,2.998229153752578
2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,38109.0,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,2016,4,Apr,6.724956808482918
2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,38109.0,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2016,4,Apr,4.585375558659912
2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,38109.0,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,2016,4,Apr,4.3011419059334175
2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,77041.0,Central,Office Supplies,Binders,Economy Binders,1.248,2018,12,Dec,0.8100409320314447
2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,77041.0,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,2018,12,Dec,2.370991125658106
2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,77041.0,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,2018,12,Dec,3.3407394126250414
2015-11-26,2015-12-01,Second Class,Consumer,Houston,Texas,77070.0,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2015,11,Nov,3.0106208860477417
2017-06-12,2017-06-15,First Class,Corporate,Decatur,Alabama,35601.0,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,2017,6,Jun,5.34309950931993
2017-06-12,2017-06-15,First Class,Corporate,Decatur,Alabama,35601.0,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,2017,6,Jun,2.8758219768814333
2015-10-12,2015-10-16,Standard Class,Consumer,San Francisco,California,94122.0,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,2015,10,Oct,2.766319109226186
2015-10-12,2015-10-16,Standard Class,Consumer,San Francisco,California,94122.0,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,2015,10,Oct,3.1086144306106633
2016-09-03,2016-09-08,Standard Class,Corporate,Durham,North Carolina,27707.0,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,2016,9,Sep,5.308188486343299
2018-11-13,2018-11-16,First Class,Home Office,Chicago,Illinois,60623.0,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,2018,11,Nov,5.444044092872437
2018-05-28,2018-05-30,Second Class,Consumer,Columbia,South Carolina,29203.0,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2018,5,May,5.713600783593539
2018-10-26,2018-11-02,Standard Class,Consumer,Rochester,Minnesota,55901.0,Central,Technology,Accessories,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,2018,10,Oct,3.0440461338325417
2018-10-26,2018-11-02,Standard Class,Consumer,Rochester,Minnesota,55901.0,Central,Office Supplies,Labels,Avery 511,6.16,2018,10,Oct,1.9685099809725544
2017-04-05,2017-04-10,Second Class,Home Office,Houston,Texas,77095.0,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,2017,4,Apr,5.071215993379483
2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,90036.0,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,2017,9,Sep,3.0492730404820207
2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,90036.0,West,Technology,Phones,Panasonic Kx-TS550,73.584,2017,9,Sep,4.311926006994392
2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,90036.0,West,Office Supplies,Paper,Xerox 1995,6.48,2017,9,Sep,2.012232791986386
2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,55407.0,Central,Office Supplies,Paper,Xerox 1999,12.96,2016,1,Jan,2.6361960973342264
2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,55407.0,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,2016,1,Jan,3.9952606039982017
2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,55407.0,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2016,1,Jan,3.5251833614431467
2018-11-06,2018-11-12,Standard Class,Home Office,Portland,Oregon,97206.0,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,2018,11,Nov,1.8994173439345647
2018-11-09,2018-11-11,Second Class,Home Office,New York City,New York,10009.0,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,2018,11,Nov,4.580160022983923
2018-06-17,2018-06-20,First Class,Consumer,San Francisco,California,94122.0,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,2018,6,Jun,3.957225790258975
2017-09-06,2017-09-11,Standard Class,Corporate,Saint Paul,Minnesota,55106.0,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,2017,9,Sep,4.36792771029438
2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,60610.0,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,2017,8,Aug,4.183941482700448
2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,60610.0,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,2017,8,Aug,4.574463525208929
2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,60610.0,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,2017,8,Aug,1.0253244928982777
2017-12-01,2017-12-04,Second Class,Consumer,Rochester,Minnesota,55901.0,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,2017,12,Dec,3.2156706939192525
2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,80013.0,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,2016,11,Nov,5.480205496092637
2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,80013.0,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,2016,11,Nov,4.638218040034292
2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,80013.0,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,2016,11,Nov,3.6344760652345496
2018-11-23,2018-11-28,Standard Class,Consumer,Charlotte,North Carolina,28205.0,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,2018,11,Nov,4.318980332956246
2018-11-23,2018-11-28,Standard Class,Consumer,Charlotte,North Carolina,28205.0,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992,2018,11,Nov,3.367019929860569
2018-11-23,2018-11-28,Standard Class,Consumer,Charlotte,North Carolina,28205.0,South,Office Supplies,Art,Newell Chalk Holder,3.304,2018,11,Nov,1.4595448228594834
2016-10-15,2016-10-20,Standard Class,Home Office,Orland Park,Illinois,60462.0,Central,Technology,Accessories,LogitechÂ Gaming G510s - Keyboard,339.96,2016,10,Oct,5.831765168350307
2018-12-25,2018-12-30,Standard Class,Corporate,New York City,New York,10035.0,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2018,12,Dec,3.7602694502006093
2017-11-03,2017-11-10,Standard Class,Consumer,Urbandale,Iowa,50322.0,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2017,11,Nov,4.343285806357451
2017-11-03,2017-11-10,Standard Class,Consumer,Urbandale,Iowa,50322.0,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,2017,11,Nov,3.3407394126250414
2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,43229.0,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,2015,8,Aug,3.7159107931649666
2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,43229.0,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2015,8,Aug,1.7439688053917064
2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,43229.0,East,Office Supplies,Paper,Xerox 1921,23.976,2015,8,Aug,3.217915363773076
2015-08-25,2015-08-27,Second Class,Consumer,Columbus,Ohio,43229.0,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,2015,8,Aug,4.8787330498789885
2016-03-02,2016-03-06,Standard Class,Consumer,Seattle,Washington,98103.0,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,2016,3,Mar,6.670170452603868
2016-04-05,2016-04-10,Standard Class,Corporate,Bristol,Tennessee,37620.0,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,2016,4,Apr,5.067607764723911
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,19805.0,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,2017,6,Jun,3.872033997211783
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,19805.0,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,2017,6,Jun,3.460723360976182
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,19805.0,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,2017,6,Jun,5.427413939882447
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,19805.0,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,2017,6,Jun,4.753762590037918
2017-06-12,2017-06-15,First Class,Consumer,Wilmington,Delaware,19805.0,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,2017,6,Jun,4.234686046775173
2015-12-26,2015-12-28,Second Class,Home Office,Houston,Texas,77041.0,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,2015,12,Dec,6.399522956368744
2015-09-20,2015-09-25,Standard Class,Consumer,Bloomington,Illinois,61701.0,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,2015,9,Sep,6.427620502536943
2018-11-05,2018-11-12,Standard Class,Consumer,Phoenix,Arizona,85023.0,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2018,11,Nov,1.2202397767898079
2018-11-05,2018-11-12,Standard Class,Consumer,Phoenix,Arizona,85023.0,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,2018,11,Nov,5.50122555695038
2017-11-06,2017-11-10,Second Class,Home Office,Los Angeles,California,90004.0,West,Furniture,Chairs,"Global Task Chair, Black",81.424,2017,11,Nov,4.411876656642767
2017-11-06,2017-11-10,Second Class,Home Office,Los Angeles,California,90004.0,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,2017,11,Nov,5.478803907396261
2018-02-02,2018-02-05,First Class,Corporate,Columbus,Ohio,43229.0,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,2018,2,Feb,4.110381939919725
2018-02-02,2018-02-05,First Class,Corporate,Columbus,Ohio,43229.0,East,Office Supplies,Paper,Xerox 1916,78.304,2018,2,Feb,4.3732885687305965
2018-02-02,2018-02-05,First Class,Corporate,Columbus,Ohio,43229.0,East,Office Supplies,Fasteners,Staples,21.456,2018,2,Feb,3.1115578390595813
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Paper,Xerox 195,20.04,2017,10,Oct,3.046425387869509
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Paper,Xerox 1880,35.44,2017,10,Oct,3.5956670723917576
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,2017,10,Oct,2.5273273656719524
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Fasteners,Ideal Clamps,4.02,2017,10,Oct,1.6134299337036377
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Binders,GBC Wire Binding Strips,76.176,2017,10,Oct,4.346088527868252
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,2017,10,Oct,4.202899968776446
2017-10-13,2017-10-19,Standard Class,Consumer,Roseville,California,95661.0,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,2017,10,Oct,3.786913194385302
2017-09-05,2017-09-07,Second Class,Corporate,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2017,9,Sep,4.428433007488037
2018-09-18,2018-09-23,Standard Class,Corporate,San Francisco,California,94122.0,West,Office Supplies,Art,Newell 343,8.82,2018,9,Sep,2.2844211223663744
2018-09-18,2018-09-23,Standard Class,Corporate,San Francisco,California,94122.0,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,2018,9,Sep,2.4731713935695794
2018-09-18,2018-09-23,Standard Class,Corporate,San Francisco,California,94122.0,West,Office Supplies,Paper,Xerox 1911,143.7,2018,9,Sep,4.974662633637438
